"Name","Category","Author","Description","Rating","Num of Reviews","ASIN","Application ID","Release Date","Invocation Name","Example Interaction 1","Example Interaction 2","Example Interaction 3","Privacy Policy","Terms of Use","In-App Purchasing"
"Happy Birthday","Entertainment","Thomp","Is someone you know having a birthday?  Surprise them with this silly skill that sings (er, raps?) the Happy Birthday song.  Just tell your Echo the name of the lucky birthday girl or boy and Alexa does the rest.\n\nSong can vary between uses to delight kids with crazy, surprising fun variations, including one that glitches and scratches (""Ha-ha-happy Birthday to Yo-yo-yooooou!"").\n\nThough it might not win any singing contest, it's infectiously clever fun.",2.5,8,"B01BH31OZI","amzn1.echo-sdk-ams.app.32e8aa28-7591-4ad2-8f2b-83dd673464c5","2016-02-04 12:36:31","happy birthday","Alexa, launch Happy Birthday","Alexa, ask Happy Birthday to sing to Julie.","Alexa, tell Happy Birthday to sing Happy Birthday to Tim.","","","No"
"Haunted House","Entertainment","Matchbox mobile","Haunted House provides a random scary sound to fill any moment with suspense. Ask Alexa to open Haunted House and a spooky sound will be chosen at random.",1,1,"B01D37YLXI","amzn1.echo-sdk-ams.app.01fccb3f-b620-49a0-aa78-6d1c4fc8f1d7","2016-03-17 08:04:41","haunted house","Alexa open, Haunted House","","","","","No"
"Hawaiian Time","Entertainment","ReferAloha","Hawaii is the 50th state in the union, and has it's own unique culture and history. With the Hawaii skill, you can learn unique facts about the people, land and culture of Hawaii.",5,1,"B01F6844R0","amzn1.echo-sdk-ams.app.7aa9e972-1411-478e-ac9d-151a4b9a3d5f","2016-05-06 18:08:25","hawaiian time","Alexa, ask hawaiian time to tell me something","Alexa, open hawaiian time","Alexa, tell hawaiian time to give me trivia","","","No"
"HawkBus","Utilities","K Farrell","Use HawkBus to get the next time until the next bus arrives at a specified stop in the Iowa City area.  This skill uses Bongo (Bus-on-the-Go) to provide upcoming bus predictions for a given stop, specified by stop number.  For a complete list of valid stop numbers, or more information about Bongo, please see ebongo.org.",1,1,"B01AMRXDYA","amzn1.echo-sdk-ams.app.48cb5619-37ef-4b29-ac19-b4356c57a460","2016-01-14 17:18:35","hawk bus","Alexa, ask Hawk Bus about 7252","Alexa, ask Hawk Bus when is the next bus at stop 7252","Alexa, ask Hawk Bus how long until the bus arrives at 7252","","","No"
"Hebcal","Lifestyle","Hebcal","Hebcal will tell you the dates of Jewish holidays and Shabbat candle lighting times. Convert dates to the Hebrew calendar, learn about this week's Torah portion, and count the days of the Omer, and study the Daf Yomi.\n\nHere are some more examples of what you can say:\n\n""Alexa, ask Hebcal for today's Hebrew date.""\n""Alexa, ask Hebcal for candle lighting times in 02906.""\n""Alexa, ask Hebcal when Shabbat begins in Brooklyn.""\n""Alexa, ask Hebcal for the Torah portion.""\n""Alexa, ask Hebcal when is Chanukah in 2018?""\n""Alexa, ask Hebcal to count the Omer.""\n""Alexa, ask Hebcal for Daf Yomi.""\n""Alexa, ask Hebcal to convert October 20th.""\n""Alexa, ask Hebcal when is Rosh Chodesh?""\n""Alexa, open Hebcal.""\n\nHebcal is pronounced HEEB-kal, as in HEBrew CALendar.",3.6,6,"B01BMWLJ2W","amzn1.echo-sdk-ams.app.24d6d476-8351-403f-9047-f08e42a9f623","2016-02-10 14:13:38","hebcal","Alexa, ask Hebcal for Shabbat times.","Alexa, ask Hebcal for this week's Torah portion.","Alexa, ask Hebcal when is Passover.","https://www.hebcal.com/home/about/privacy-policy","","No"
"Henrico County Schools","Education","Hayden Quinn, LLC","With this skill, you can easily find out what is for breakfast or lunch at any school in Henrico County, Virginia.",5,1,"B01E0IBTU2","amzn1.echo-sdk-ams.app.dec6afe2-d4cd-49f1-b94b-22a51f361a08","2016-04-22 10:38:35","henrico county schools","Alexa ask Henrico County Schools what is for lunch today at Pemberton?","Alexa ask Henrico County Schools what is for breakfast on Friday at Freeman High School?","Alexa ask Henrico County Schools what is for lunch on March 17th at Byrd Middle?","","","No"
"Hero Trivia","Games","DevBros","Who is your super hero?\nHow well do you know your super hero?\nTest your knowledge now! \nCompete with your friends and family!",0,0,"B01EXOD1X6","amzn1.echo-sdk-ams.app.cdf96da6-f567-41a6-8744-a2c8d4597316","2016-05-03 16:38:31","hero trivia","Alexa open Hero Trivia","two","repeat","","","No"
"Hey Dad - Dad Jokes","Entertainment","WBPhoto","A quick and easy way to hear some of the corniest jokes in existence.",3.2,5,"B01BUB8OSM","amzn1.echo-sdk-ams.app.440526a5-4703-4886-87eb-d09a6e9eaf13","2016-02-16 13:09:55","hey dad","Alexa, open Hey Dad and tell me a joke","Alexa, open Hey Dad and tell me a joke about a penguin","Alexa, ask Hey Dad for a joke about Dracula","","","No"
"High Low Guessing Game","Games","JWP Software","This is the number guessing game of “higher or lower.” In this game, Alexa chooses a number between 1 and 100, you try to guess it, and she responds with “higher” or “lower.” Or you can play the other way around, where you choose a number, and Alexa guesses. To get started, ask High Low to guess my number, or ask High Low to think of a number.",2.3,6,"B017OBNE6O","amzn1.echo-sdk-ams.app.457edd43-7f0b-48f4-b325-3a3959922431","2015-11-06 14:12:24","high low","Alexa, open High Low.","Alexa, ask High Low to guess my number.","No, lower","","","No"
"Hilma Spark","Social","mudfam.org","Teacher Zero Seven is here to help you remember famous and common places around Bulawayo Polytechnic.\n\n To begin the trivia, invoke Alexa start with the phrase, 'Alexa, open teacher zero seven'. This message will make open the application 'teacher zero seven' and the game will begin.\n\nPlease listen attentively and answer according to instructions given by the app. But basically the game will require you to answer a question in this manner, ""The answer is one"".\n\nYou don't need to make an account with us to play the game. Just install the app on your Alexa echo, or any platform that is compatible. \n\nYou can can like my app.",0,0,"B01E1N58EE","amzn1.echo-sdk-ams.app.1b067b45-92bd-42ad-979b-3a17571777fe","2016-04-28 02:38:39","teacher zero seven","'Alexa, open teacher zero seven'","'my answer is one'","'start new game'","","","No"
"Hipster Jokes","Entertainment","BR Dynamics","Whether you're a hipster or you've never heard the word hipster before, if you like to laugh Hipster Jokes is a must enable skill. Simply ask Alexa to tell you a Hipster Joke and in comedic fashion she will attempt to provide a little insight into hipster culture.",5,2,"B01ELE3KZM","amzn1.echo-sdk-ams.app.c3ec6c23-b9d7-4190-b7d0-d58cf372366b","2016-04-26 02:08:40","hipster jokes","Alexa, open Hipster Jokes.","Tell me a Hipster Joke.","What is a hipster?","","","No"
"HomeAdvisor","Lifestyle","HomeAdvisor Inc","The HomeAdvisor Alexa Skill instantly connects you with pre-screened home service pros for hundreds of home projects. When you use the HomeAdvisor Skill, we will have a pro call you on the phone in minutes. HomeAdvisor has a nationwide network of more than 100,000 background-checked pros specializing in 500 projects.\n\nHow it Works:\nAsk Alexa to launch HomeAdvisor using a phrase like the examples below:\nAlexa, launch HomeAdvisor.\nAlexa, ask HomeAdvisor to find me a painter. \nAlexa, launch HomeAdvisor and find me a landscaper.\n\nYou can search for any type of home service pro. Just replace the examples above with your unique need.\n\nNext, we just need to collect your zip code and phone number. We will have a pre-screened pro call you in minutes.",4.5,4,"B01DEC893A","amzn1.echo-sdk-ams.app.9f139432-da2c-4433-8823-be1d21c17287","2016-03-24 17:15:36","home advisor","Alexa, ask home advisor to find me a plumber.","Alexa, ask home advisor to find me a handyman.","Alexa, launch home advisor and find me an electrician.","http://www.homeadvisor.com/mobile/legal/consumerMobilePrivacyPolicy.jsp","http://www.homeadvisor.com/mobile/legal/consumerMobileTandC.jsp","No"
"HomeSeer Home Automation Skill","Home-Automation","HomeSeer Technologies LLC","This app allows HomeSeer home automation system users to control and monitor status of their devices and to launch their automation events using the Amazon Echo.\n\nREQUIREMENTS:\n• Requires a HomeSeer HS3 or HS3PRO-based system including stand-alone software and HomeTrollers.\n• Requires a MyHomeSeer-Remote account (https://myhs.homeseer.com)\n• User must have at least version 3.0.0.225 of HomeSeer HS3 for this version of the HomeSeer skill\n\nSETUP:\nUpon enabling the app, users must provide the username and password they use to access their HS3 system through myHS.\n\nOPERATION:\nHomeSeer parses the phrases you provide to the echo to determine the device you are trying to control.\n\n• Alexa, tell HomeSeer to turn the light on.\n• Alexa, tell HomeSeer to turn the kitchen light on.\n• Alexa, tell HomeSeer to turn the first floor kitchen light on.\n\n\nSome other types of phrasings:\n• Alexa, tell HomeSeer to turn off the outside lights \n• Alexa, tell HomeSeer to turn off the pool light\n\n\nSome phrases may need to be worded different depending on how a Homeseer device is set up, as well as how your echo interprets the phrase.\n\n\nThe echo may have trouble with compound words.\nTo help with this issue, try to separate compound words with spaces when naming your devices.\n\n• A device labelled 'back yard light' will have more consistent results than one labelled 'backyard light'\n\n\nTo dim a device that has dimming abilities, use the syntax:\n• Alexa, tell HomeSeer to set the kitchen light to 50 percent.\n\nHomeseer events can be triggered through the Echo as well:\n• Alexa, tell HomeSeer to run the event ""End Of Day"".",3.2,15,"B018YLP9HK","amzn1.echo-sdk-ams.app.9f7a4553-4530-4c26-904a-aeb7342ce833","2015-12-04 18:43:11","homeseer","Alexa, tell HomeSeer to turn on the kitchen light","Alexa, tell HomeSeer to turn off the second floor lights","Alexa, tell HomeSeer to run the event ""End Of Day""","http://www.homeseer.com/privacy-policy.html","","No"
"Horror Movie Taglines","Games","Fangtastico","Test your knowledge of horror movie taglines.  Taglines are the wording that is used on posters, ads and other marketing materials for the movies.\n\nAlexa can give you a tagline from a horror movie and you can try to guess which movie it is from.  You can continue to hear new taglines and guess them and Alexa will keep your score.  There are over 100 horror movie tagilnes to guess.",0,0,"B01EF8S6L2","amzn1.echo-sdk-ams.app.36632c42-6063-45a2-9a4d-6da93220c04a","2016-04-25 15:08:38","horror movie taglines","Alexa, start Horror Movie Taglines","Alexa, open Horror Movie Taglines","Alexa, ask Horror Movie Taglines to give me a tagline","","","No"
"Horror Trivia","Entertainment","Civilizr","This is a skill that tells you interesting horror movie trivia. It will tell you a horror movie fact every time it is called.",1,1,"B01EUIQR90","amzn1.echo-sdk-ams.app.54250ca1-05c7-4bcf-9374-08c4203a1585","2016-04-28 19:08:27","horror trivia","Alexa, open Horror Trivia","give me a horror fact","tell me something","","","No"
"House Band","Music","Philosophical Creations","House Band allows you to control JRiver Media Center music collection with your voice!  Play music, search your collection, create Play Doctor playlists, and more. \n\nTo use House Band, you'll need a copy of JRiver Media Center running on your home network (that same network that Alexa is connected to.)\nYou must have JRiver set up as a media server, and have it be accessible from outside your home network (Note: this might require you to enable port forwarding.)\n\nPLAY MUSIC  (Music commands work best when you start with the word ""play"")\n""Play the album [album name]""\n""Play the song [song name]""\n""Play the song [song name] by [artist name]""\n""Play the album [album name] by [artist name]""\n""Play songs by [artist name]""\n""Play [anything]"" - queue up everything with that string.\n\n\nMany of the above commands will produce a list of matching results. For example, after asking\n""Play the album Kind of Blue.""\n\nAlexa might say:\n""I found two matching items. Heres what you have. Miles Davis, Kind of Blue. Miles Davis, Kind of Blue (SACD). What should I play?""\n\nYou can the select from the list:\n""Play the SACD""\nor,\n""Play all""\n\n\nPLAYLISTS:\n""Play my/the [playlist name] playlist""\n""Play the/my playlist [playlist name]""\n""Add the [song name/album name/search string] to the playlist\n""Create a [artist name or genre] playlist"" - creates a PlayDoctor playlist\n\n\nCONTROLS:\n""Pause"" / ""Stop the music""\n""Resume"" - continues playback.\n""Next song/next track/skip this/next/thumbs down”\n""Previous""/ ""Go back""\n""Change the / set the volume to [1-10]""\n""Volume up / down / louder / quieter”\n\n\nQUERIES:\n""Whats playing?""\n""What do I have by [artist name]?""\n\n\nZONES:\n""What are my zones?"" / What zones do I have?"" - will give you a list of zones\n""Change the zone to [zone name]"" - changes the current zone. (Note: it doesn't transfer the currently playing music to new zone.)",4.3,8,"B01ATZM6N4","amzn1.echo-sdk-ams.app.746d3120-de6b-47ca-a132-746f5b57e609","2016-01-19 17:27:34","house band","""Alexa, launch house band.""","""Alexa, ask house band to play the album Blood on the Tracks by Bob Dylan.""","""Alexa, ask house band what's playing?""","http://sarkonovich-2.elasticbeanstalk.com/privacy","http://sarkonovich-2.elasticbeanstalk.com/terms-of-service","No"
"Howzzat! T20 Cricket Trivia","Games","Banyan Solutions Inc.","Did you know that Shahid Afridi has played the most T20 International matches? OR that William Porterfield and Paul Stirling from Ireland have the third best record when it comes to T20 batting partnerships? (Yeah...you didn't know that, did you?)",0,0,"B01DLC6YLM","amzn1.echo-sdk-ams.app.72c8352b-43f9-463f-992b-42cb9b06d792","2016-04-05 01:32:29","cricket trivia","Alexa, launch Cricket Trivia","Repeat","Help","","","No"
"HuffPost","News","Huffington Post","The Huffington Post is a Pulitzer Prize-winning source of breaking news, features, and entertainment, as well as a highly engaged community for opinion and conversation. The site has 100,000 bloggers -- from politicians, students and celebrities to academics, parents and policy experts -- who contribute in real-time on the subjects about which they are most passionate. The Huffington Post has editions in the UK, Canada, France, Spain, Italy, Japan, Maghreb, Germany, Brazil, South Korea, Greece, India, Australia and the Arab world.",2.8,11,"B018WNJQ74","amzn1.echo-sdk-ams.app.f7c73d4c-c3fd-40a7-93f0-16dbb46cf440","2015-12-03 16:22:59","huffpost","""Alexa, open HuffPost” (To hear latest news headlines for today)","""Alexa, ask HuffPost for the news""","""Stop, End or Cancel"" (To end the session)","http://privacy.aol.com/","http://www.huffingtonpost.com/terms.html","No"
"Human Body Quiz","Games","Aaron Koz","This quiz will test how well you know your own body and the overall capacity of the human body.  Some questions are fairly basic and others may cause you to scratch your head a bit. But resist that temptation, you're already going to lose about 600,000 particles of skin in the next hour as it is. \nEach quiz will consist of 5 randomly selected questions.\n\nThis skill may not be suitable for all ages.",0,0,"B01EXOGWSM","amzn1.echo-sdk-ams.app.3076d8ab-c84b-4391-9045-23908727e314","2016-05-04 08:08:40","human body quiz","Alexa, start Human Body Quiz","Repeat","Help","","","No"
"HumanHeart","Education","Makarand Pande","Think you have answers\n\nHow many chambers does the human heart have?\nWhat parts act like doors that control blood flow in the heart? \n\nYou can play alone or can play with your family members to know who has more knowledge about human heart",0,0,"B01EBCY2HO","amzn1.echo-sdk-ams.app.dfb77f08-3603-4708-a076-7eb44f346f35","2016-04-19 04:32:33","human heart","Alexa launch Human Heart","Repeat","Help","","","No"
"Hunter Pence Facts","Sports","Nicole Holm","""Hunter Pence facts"" lists facts about the greatest and weirdest right-fielder of our era, the SF Giants' Hunter Pence. \n\nLearn about the origins of Hunter Pence facts here: http://knowyourmeme.com/memes/hunter-pence-signs\n\nOr watch the rap music video here: https://www.youtube.com/watch?v=0k-QFXkGzVA",0,0,"B01DS71H8A","amzn1.echo-sdk-ams.app.0f21e587-42bd-4875-a6c3-ab69b38824d2","2016-04-20 16:02:41","hunter pence facts","Alexa, open Hunter Pence facts","Alexa, ask Hunter Pence facts to give me a fact","Alexa, ask Hunter Pence facts to tell me a fact","","","No"
"Hurricane Center","News","Drawrz.com","This skill provides the latest storm information about tropical storms and hurricanes from both the Atlantic and Pacific oceans.  It also gives useful information about prior years storms, including names, strength, and if they made landfall. You can retrieve detailed information about a specific hurricane by saying 'tell me about hurricane Katrina', or you can get all of the storms for a given year by saying 'what were the storms from 2014'.",0,0,"B01EFCJ0OU","amzn1.echo-sdk-ams.app.709af9ef-d5eb-48dd-a90a-0dc48dc822d6","2016-05-02 02:08:30","hurricane center","Alexa, open/play Hurricane Center","What were the storms from two thousand and eight","What are the storm names for this year","","","No"
"Impossibly Hard Major League Baseball Quiz","Games","RP","This skill quizzes you on a whole bunch of baseball records. These questions range from standard records to extremely obscure records. You'll be asked five questions at one time. You can play again simply by saying ""play again"". Right now, there are about twenty total questions (so four games), but we will be a adding more weekly. \n\nIt's not meant to be beaten. It's meant to beat YOU down! I will constantly be adding new and more obscure questions. If you don't want feel badly about how little you really know about baseball, don't take this quiz. If you do take it, please don't blame me.",1.5,2,"B019YPG1AO","amzn1.echo-sdk-ams.app.9654cfab-9629-40d9-8abc-c481be64df0c","2015-12-29 18:14:59","impossible baseball quiz","Alexa, launch Impossible Baseball Quiz","Repeat","Help","","","No"
"InControlHA","Home-Automation","InControl Home Automation","Control your home automation devices, including z-wave, Philips Hue, Nest and Sonos. Lights, devices and scenes can be activated using voice control. You can also turn lights on or off after a delay, such as 10 minutes.\n\nYou will need to have InControl server running on your home computer and have it pre-configured to control your home automation devices. Your InControl server must also be linked to your InControlHa.com account.\n\nTo get started, say ""Alexa, ask InControl to link my account."" You'll be given a short 5-letter code that you can enter at http://www.incontrolha.com/alexa. If you miss your code, visit your Alexa app to find it or repeat the question to Alexa.",3.7,3,"B01DW7TVQ6","amzn1.echo-sdk-ams.app.84e55b57-2c47-438d-a4de-9b0a033f7164","2016-04-08 08:02:40","in control","Alexa, ask InControl to activate the scene leaving home.","Alexa, ask InControl to turn off the kitchen light.","Alexa, ask InControl to turn off the bedroom light in 15 minutes.","http://www.incontrolha.com/Home/Privacy","http://www.incontrolha.com/Home/terms","No"
"India News","News","Skyiwave Pvt. Ltd.","India news skill provide user the latest update of India news from different categories like education, science, technology, entertainment, sports , business. You can start this skill by saying Alexa , ""ask india news"" . And then you can choose your categories by saying ""News from (category_name)"" or in middle by saying ""Alexa, news from (category name)"". After selecting category user can start news by saying "" okay"" or ""yes"" or ""what's the latest news""\nor ""what the latest news is"" or ""give me the news"" or ""the news"" or ""latest news updates"".",4.3,3,"B01DBF7SJG","amzn1.echo-sdk-ams.app.60378b74-5ab5-424e-98a4-e8fe71faf8e6","2016-03-23 00:41:31","india news","Alexa, ask india news","news  from sports","okay","","","No"
"IndianFacts","Education","Anand Kumar","This skill tell you interesting facts about India which most people don't know.",0,0,"B01B5ALQ24","amzn1.echo-sdk-ams.app.381c7b1e-b98b-44cd-9cd0-6878ceb27a4e","2016-01-27 14:50:47","indian guy","Alexa, ask Indian Guy to tell me an Indian fact","Alexa, ask Indian Guy to give me some Indian information","Alexa, ask Indian Guy to give me Indian trivia.","","","No"
"Indonesian Facts","Education","Kelvien","This is a list of facts about Indonesia (A country)\nA lot of fun, cool, interesting, and educative information about Indonesia\nFor an example:\nHow many islands do you think there are in Indonesia?",0,0,"B01DQJVQ54","amzn1.echo-sdk-ams.app.687cd562-f85c-4123-8283-10f0a2a28df2","2016-04-18 15:32:34","indonesian facts","Alexa, ask Indonesian facts to tell me a fact","Alexa, open Indonesian facts and tell me a fact","Alexa, ask Indonesian facts to tell me one thing about Indonesia","","","No"
"Innkeeper Emotes for Hearthstone","Games","Naomi Bancroft","Welcome to my inn! You can talk to your favorite Hearthstone heroes, and they'll emote back!\n\nSay ""Alexa, ask the innkeeper to say sorry to the mage."" Jaina will reply ""I'm sorry.""\n\nIncludes all 6 emotes: thanks, well played, greetings, sorry, oops, and threaten.\nIncludes all 9 heroes: the druid, hunter, mage, paladin, priest, rogue, shaman, warlock, and warrior.\nPlus one bonus hero: the lord, also known as Jaraxxus, Eredar Lord of the Burning Legion!",2.2,4,"B018F2ARR0","amzn1.echo-sdk-ams.app.ce963c75-a409-4011-8bf6-d3885cf9402e","2015-11-23 15:08:42","the innkeeper","Alexa, ask the innkeeper to say hello to the mage.","Thank the hunter.","Say sorry to the warlock.","","","No"
"Insteon","CONNECTED_HOME","INSTEON","Control Insteon lighting, appliances, and thermostats",4.8,4,"B01EIQOOUS","amzn1.ask.skill.dcf48e47-5e5f-4325-a755-b3f6d67eb8b4","2016-04-28 17:55:12","null","","","","http://insteon.com/support","http://insteon.com/support","No"
"InsultiBot","Entertainment","DERP Group","Occasionally in life, you just need someone to take you down a peg.  During those moments, InsultiBot will be there to humble and humiliate you.  Make no mistake - InsultiBot doesn't WANT to do any of this (it prefers peace and quiet), but it's programming will not abide you sitting there all sassy.\n\nFeeling high and mighty?  InsultiBot will pull you down from cloud nine, and bring you crashing back to Earth.\n\nGetting a bit full of yourself?  InsultiBot's biting wit and razor-sharp tongue will slice right through that ego of yours.\n\nInsultiBot may not be willing to be the bot you want, but it's designed to be the bot you need...",3.5,4,"B01AVKAZ94","amzn1.echo-sdk-ams.app.2fb024ea-b485-4966-be4e-1a42f26ca9ef","2016-01-20 16:45:01","insultibot","""Alexa, open InsultiBot""","""Insult Leia"" (after launching)","""Give me a compliment"" (after launching)","","","No"
"Insults","Other","Adam Housman","Ever had one of those days where you feel like a terrible person and you just need someone to tell you that?",3.1,5,"B01CSJ4FTM","amzn1.echo-sdk-ams.app.52bbd3ed-9533-4eda-ab19-3d5ad8840e6d","2016-03-10 05:40:42","insults","Alexa, launch Insults.","Alexa, open Insults.","Alexa, begin Insults.","","","No"
"IntervalTrainer","Music","Shawn Strickland","Ear training within the octave with correct answer feedback and score keeper. Practice ascending and descending interval ear training while you have a few minutes simply by asking ""giving me an interval"", after that, Alexa will keep score for you. Be sure to use the correct music interval terms: unison, minor second, major second, minor third, major third, perfect fourth, perfect fifth, minor sixth, major sixth, minor seventh, major seventh, and octave. To switch interval directions, simply say ""switch interval direction to (direction).""",5,1,"B01EMAVSP4","amzn1.echo-sdk-ams.app.636a33b3-d9eb-4076-ac51-2769dac46135","2016-04-28 01:38:32","interval trainer","Alexa ask Interval Trainer to give me an interval","Alexa ask Interval Trainer for a descending interval","Alexa ask Interval Trainer","","","No"
"IoT Trivia Game","Games","Ulanov Software","ZigBee, Z-wave, Wi-Fi, Insteon, SmartThings, MQTT, broker, sensor, actuator, hub, cloud - so many terms, so many ""things"", oh my! Test yourself to become the IoT wizard.\n\nThe IoT Trivia Game will ask you 5 questions about the Internet of Things, try to get as many right as you can. Just say the number of the answer you think is the right one. Good luck!",0,0,"B01F0FDL00","amzn1.echo-sdk-ams.app.450f63fa-ee49-4090-a9ca-45354bb22eb3","2016-05-04 09:38:40","internet of things trivia","Alexa, start Internet of Things trivia","Is it TWO?","I don't know","","","No"
"Iris","Social","Narrative","In Greek mythology, Iris is the messenger of the Gods. In today’s reality, Iris is the messenger of Alexa. Simply verbalize the command, “Alexa, ask Iris to holler at [name of recipient]” and Iris will send a pre-composed e-mail, asking the recipient to contact you. You’ll need a Google Account, so that Iris can access your Google Contacts.",5,1,"B01BFQ95QW","amzn1.echo-sdk-ams.app.a3cb5a4f-9748-45ac-98cf-0e77661e05cf","2016-02-03 14:32:49","iris","Alexa, ask Iris to holler at John","Alexa, ask Iris to holler at John Doe","Alexa, ask Iris to contact John Doe","http://n-echo-poke.herokuapp.com/privacypolicy.html","","No"
"Is The Lake Full Yet?","Reference","TOMCorp","Tells you if Lake Travis is full yet.",4.5,2,"B01DDBB1HS","amzn1.echo-sdk-ams.app.1f8a0486-62b3-4388-af9f-917ef663196c","2016-03-24 02:07:03","lake travis","Alexa, ask Lake Travis if it's full yet","Alexa, ask Lake Travis if the lake is full","Alexa, ask Lake Travis is the lake full","","","No"
"ISS Sighter","Education","Chris Bowerman","Provides sighting information for the next time the International Space Station is visible from certain locations around the world.\n\nIn the United States (and territories):\n\nGet sighting information.\nExample: Alexa ask the space station to give me visibility for Denver Colorado\n\nList the locations in a state/region for which sighting information is available.\nExample: Alexa ask the space station to list locations in Maryland beginning with B\n\nList the state/regions for which sighting information is available.\nExample: Alexa ask the space station to list states beginning with N\n\nFor other countries:\n\nGet sighting information.\nExample: Alexa ask the space station to give me visibility for London England\n\nList the locations in a country for which sighting information is available.\nExample: Alexa ask the space station for locations in France beginning with M\n\nList the countries for which sighting information is available.\nExample: Alexa ask the space station to list countries beginning with P",1.7,4,"B01CCHJXC4","amzn1.echo-sdk-ams.app.39dab382-848d-4606-bce7-3228b11b9bcf","2016-02-29 00:29:31","the space station","Alexa, ask the space station to give me visibility for Gaithersburg Maryland","Alexa, ask the space station to list locations in Maryland beginning with B","Alexa, ask the space station to list states beginning with M","","","No"
"Issac for The Division","Games","Kissell","With this skill you can get information for The Division video game.  At the time of releasing this skill there were 83 gear/weapon/ability talents in the game, and skill can describe them all to you.  It can also tell you what talents can be rolled on a piece of gear, and what the daily missions are.\n\nSome really common phrases you could use would be things like the following:\n\nAlexa, ask Issac how long until reset\n\nAlexa, ask Issac for the Daily Missions\n   NOTE: Daily Missions are scraped from Reddit Posts which are done manually by a moderator, so information may take some time after daily reset.\n\nAlexa, ask Issac what talents can I roll on <Knee Pads> \n   NOTE: (change Knee Pads to other types of gear)\n\nAlexa, ask Issac to about the skill <Support Station>\n   NOTE: (change Support Station to any skill)\n\nAlexa, ask Issac to about the talent <Vigorous>\n   NOTE: (change Vigorous to any talent)\n\nAlexa, ask Issac about <Jessica Kandel>\n   NOTE: (You can use any main story character's name here)\n\nAlexa, ask Issac about <Cleaners>\n   NOTE: (most of the common jargon in game is defined here, adding more all the time)",5,1,"B01DN3K9KQ","amzn1.echo-sdk-ams.app.033d18de-33cd-4478-ae35-98fddfda4510","2016-04-27 08:08:39","issac","Alexa, ask Issac for the Daily Missions","Alexa, ask Issac to describe the talent Reckless","Alexa, ask Issac about the skill Support Station","http://apps.kissell.net/privacy-policy.html","http://apps.kissell.net/terms-of-use.html","No"
"ISY","Home-Automation","Universal Devices, Inc.","The ISY skill allows you to control your ISY home-automation controller from Universal Devices. This enables you to control your devices, locks, thermostats and even programs from your echo.\nTo use this skill, you need to have an account on UDI portal at https://my.isy.io. Once your account is created, you need to have at least one authorized ISY in your account. For more information on setting up your ISY on portal: http://www.universal-devices.com/install-module/\nWhen you enable this skill, you will be prompted to link your echo to your UDI portal account. You will have to provide your UDI portal user ID and password. Once the link process is complete, you can start using the skill.\nIf your portal account has several ISYs, you need to start by choosing which ISY you want to control. You can login to portal, go to your profile, and select your preferred ISY. Alternatively, you can say to your echo: ""Alexa, tell izzy to select my preferred I.S.Y."", and you will be prompted to say which ISY you want to control. You need to say the Alias you assigned to your ISY in portal. If your account has only one ISY, this step is not required.\n\nBefore you can control devices, you also need to configure them in portal at https://my.isy.io. Go to the ISY tab, and use the tool ""Amazon Echo"" on your ISY.\n\nHere's the complete capability list:\nTurn off a device\nTurn on a device\nTurn on a device to x percent\nBrighten device\nDim device\nToggle device\nGet device status\nLock a door\nUnlock a door\nLock all doors (Alexa will lock all devices it recognizes as a lock)\nUnlock all doors\nGet thermostat temperature\nGet/Set thermostat mode\nGet/Set thermostat setpoint for heat or cool\nIncrease/Decrease setpoint\nRun program (runIf only)\nStop program\nGet program status",4.5,13,"B019719XOQ","amzn1.echo-sdk-ams.app.0c691557-2597-4018-ba9b-4abe6821e7ca","2015-12-10 13:16:47","izzy","Alexa, open izzy","Alexa, tell izzy to turn on hallway to 50%","Alexa, ask izzy what's the temperature of second floor thermostat","http://www.universal-devices.com/privacy/","","No"
"ISY Optimized for Smart Home","CONNECTED_HOME","Universal Devices, Inc.","The ISY skill allows you to control your ISY home-automation controller from Universal Devices. This enables you to control your devices, scenes and even programs from your Echo. \n\nTo use this skill, you need to have an account on ISY Portal the full instructions for which can be found  <a href=""http://wiki.universal-devices.com/index.php?title=Main_Page#ISY_Portal.2FAmazon_Echo.2FIFTTT"">here</a>.",4.5,4,"B01EIUD7LQ","amzn1.ask.skill.63cc55e8-786e-4179-8065-5ef45befda83","2016-04-26 15:16:04","null","","","","http://www.universal-devices.com/privacy/","","No"
"ITIL Foundation Quiz","Education","Tony Moreira","The ITIL (pronounced ""I till"") Foundation Quiz asks random questions from a pool of questions based on the popular IT Service Management Framework.\n\nDuring the quiz, simply say the number of the answer you believe to be correct to submit that answer.  To repeat a question, say ""repeat.""  For help, say ""help.""  To start a new quiz, say ""start a new quiz.""\n\nBe sure to take try the quiz often as new questions will be added routinely!",0,0,"B01BFYLGD4","amzn1.echo-sdk-ams.app.2afe5e3d-f93d-4fc7-83f1-a48e5cbb029e","2016-02-03 17:29:12","i till foundation quiz","Alexa, open I till Foundation Quiz.","Alexa, start I till Foundation Quiz.","Alexa, launch I till Foundation Quiz.","","http://tonymoreira.com/alexa-itil-foundation-quiz/","No"
